depth,move number,Minimax NewHeur Prunings,Minimax OldHeur Prunings,Winner,Who First
5,1,10977,5957,--,new
5,2,11033,9383,--,new
5,3,8683,6419,--,new
5,4,6466,2139,--,new
5,5,4399,2446,--,new
5,6,2884,689,--,new
5,7,1968,866,--,new
5,0,0,0,new,new
5,1,10977,5957,--,new
5,2,11033,9383,--,new
5,3,8683,6419,--,new
5,4,6466,2139,--,new
5,5,4399,2446,--,new
5,6,2884,689,--,new
5,7,1968,866,--,new
5,0,0,0,new,new
5,1,10977,5957,--,new
5,2,11033,9383,--,new
5,3,8683,6419,--,new
5,4,6466,2139,--,new
5,5,4399,2446,--,new
5,6,2884,689,--,new
5,7,1968,866,--,new
5,0,0,0,new,new
5,1,10977,5957,--,new
5,2,11033,9383,--,new
5,3,8683,6419,--,new
5,4,6466,2139,--,new
5,5,4399,2446,--,new
5,6,2884,689,--,new
5,7,1968,866,--,new
5,0,0,0,new,new
5,1,10977,5957,--,new
5,2,11033,9383,--,new
5,3,8683,6419,--,new
5,4,6466,2139,--,new
5,5,4399,2446,--,new
5,6,2884,689,--,new
5,7,1968,866,--,new
5,0,0,0,new,new
5,1,9111,0,--,old
5,2,10398,4643,--,old
5,3,7324,7782,--,old
5,4,4738,6028,--,old
5,5,3518,3105,--,old
5,6,80,2018,--,old
5,7,48,1476,--,old
5,8,16,830,--,old
5,0,0,0,tie,old
5,1,9111,0,--,old
5,2,10398,4643,--,old
5,3,7324,7782,--,old
5,4,4738,6028,--,old
5,5,3518,3105,--,old
5,6,80,2018,--,old
5,7,48,1476,--,old
5,8,16,830,--,old
5,0,0,0,tie,old
5,1,9111,0,--,old
5,2,10398,4643,--,old
5,3,7324,7782,--,old
5,4,4738,6028,--,old
5,5,3518,3105,--,old
5,6,80,2018,--,old
5,7,48,1476,--,old
5,8,16,830,--,old
5,0,0,0,tie,old
5,1,9111,0,--,old
5,2,10398,4643,--,old
5,3,7324,7782,--,old
5,4,4738,6028,--,old
5,5,3518,3105,--,old
5,6,80,2018,--,old
5,7,48,1476,--,old
5,8,16,830,--,old
5,0,0,0,tie,old
5,1,9111,0,--,old
5,2,10398,4643,--,old
5,3,7324,7782,--,old
5,4,4738,6028,--,old
5,5,3518,3105,--,old
5,6,80,2018,--,old
5,7,48,1476,--,old
5,8,16,830,--,old
5,0,0,0,tie,old
