depth,move number,Prunings,Winner,Which Heur,Who First
5,1,10442,--,new,RB
5,2,10208,--,new,RB
5,3,7341,--,new,RB
5,4,5167,--,new,RB
5,5,3566,--,new,RB
5,6,2096,--,new,RB
5,7,1242,--,new,RB
5,8,668,--,new,RB
5,9,355,--,new,RB
5,0,0,O,new,RB
5,1,10054,--,new,RB
5,2,10090,--,new,RB
5,3,7134,--,new,RB
5,4,5012,--,new,RB
5,5,3381,--,new,RB
5,6,2271,--,new,RB
5,7,1111,--,new,RB
5,8,650,--,new,RB
5,9,300,--,new,RB
5,10,81,--,new,RB
5,0,0,O,new,RB
5,1,10522,--,new,RB
5,2,9373,--,new,RB
5,3,7496,--,new,RB
5,4,5344,--,new,RB
5,5,3974,--,new,RB
5,6,2618,--,new,RB
5,0,0,O,new,RB
5,1,10977,--,new,MMB
5,2,10062,--,new,MMB
5,3,8612,--,new,MMB
5,4,5843,--,new,MMB
5,5,4132,--,new,MMB
5,6,3106,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11077,--,new,MMB
5,3,8447,--,new,MMB
5,4,6621,--,new,MMB
5,5,4747,--,new,MMB
5,6,3017,--,new,MMB
5,7,2094,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11136,--,new,MMB
5,3,8709,--,new,MMB
5,4,5449,--,new,MMB
5,5,4323,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10962,--,new,MMB
5,3,8371,--,new,MMB
5,4,6129,--,new,MMB
5,5,3839,--,new,MMB
5,6,2511,--,new,MMB
5,7,1395,--,new,MMB
5,8,843,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10062,--,new,MMB
5,3,8753,--,new,MMB
5,4,5251,--,new,MMB
5,5,4441,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11296,--,new,MMB
5,3,8714,--,new,MMB
5,4,4860,--,new,MMB
5,5,4507,--,new,MMB
5,6,3281,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10062,--,new,MMB
5,3,8686,--,new,MMB
5,4,4831,--,new,MMB
5,5,4336,--,new,MMB
5,6,2668,--,new,MMB
5,7,1559,--,new,MMB
5,8,848,--,new,MMB
5,9,419,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10599,--,new,MMB
5,3,8721,--,new,MMB
5,4,6394,--,new,MMB
5,5,4440,--,new,MMB
5,6,3076,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10035,--,new,MMB
5,3,8587,--,new,MMB
5,4,5868,--,new,MMB
5,5,4351,--,new,MMB
5,6,3116,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11297,--,new,MMB
5,3,8675,--,new,MMB
5,4,6317,--,new,MMB
5,5,4295,--,new,MMB
5,6,3169,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11079,--,new,MMB
5,3,8754,--,new,MMB
5,4,5652,--,new,MMB
5,5,4314,--,new,MMB
5,6,2984,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11292,--,new,MMB
5,3,8679,--,new,MMB
5,4,4772,--,new,MMB
5,5,4342,--,new,MMB
5,6,3079,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10062,--,new,MMB
