depth,move number,Going First,Minimax Bot time to Make Move,Winner
5,1,0,8.891818761825562,
5,2,0,5.000756025314331,
5,3,0,1.733109474182129,
5,4,0,3.7890002727508545,
5,5,0,0.8839998245239258,
5,6,0,0.6480000019073486,X
5,1,0,8.921058177947998,
5,2,0,3.0289998054504395,
5,3,0,1.818000316619873,
5,4,0,2.685999870300293,
5,5,0,1.5245211124420166,
5,6,0,0.7019991874694824,
5,7,0,0.4810006618499756,X
5,1,0,8.894011974334717,
5,2,0,4.834571361541748,
5,3,0,2.164510488510132,
5,4,0,1.0319998264312744,
5,5,0,1.0750000476837158,
5,6,0,0.627000093460083,
5,7,0,0.40399980545043945,X
5,1,0,8.80402398109436,
5,2,0,4.758000135421753,
5,3,0,1.7330002784729004,
5,4,0,2.9170126914978027,
5,5,0,1.1140117645263672,
5,6,0,0.44900035858154297,
5,7,0,0.31800007820129395,X
5,1,0,8.903043985366821,
5,2,0,3.0689988136291504,
5,3,0,1.7695205211639404,
5,4,0,1.6710357666015625,
5,5,0,1.3130111694335938,
5,6,0,0.5879998207092285,X
5,1,0,8.862777709960938,
5,2,0,2.7668426036834717,
5,3,0,1.6080007553100586,
5,4,0,3.790529251098633,
5,5,0,1.5980117321014404,
5,6,0,0.571998119354248,
5,7,0,0.48200011253356934,
5,8,0,0.23000049591064453,
5,9,0,0.09299945831298828,X
5,1,0,8.86609697341919,
5,2,0,3.0670108795166016,
5,3,0,2.503513813018799,
5,4,0,4.165998220443726,
5,5,0,1.3360011577606201,
5,6,0,0.5790004730224609,X
5,1,0,8.891032218933105,
5,2,0,6.815148830413818,
5,3,0,2.8169994354248047,
5,4,0,1.2960002422332764,
5,5,0,1.0049998760223389,
5,6,0,0.5640003681182861,
5,7,0,0.3450002670288086,
5,8,0,0.14399981498718262,X
5,1,0,8.892013311386108,
5,2,0,4.9600019454956055,
5,3,0,1.6719975471496582,
5,4,0,1.9320240020751953,
5,5,0,1.1818628311157227,
5,6,0,0.8619997501373291,
5,7,0,0.38300037384033203,
5,8,0,0.2219998836517334,
5,9,0,0.09400081634521484,X
5,1,0,8.934564352035522,
5,2,0,2.8260233402252197,
5,3,0,1.6245219707489014,
5,4,0,3.555000066757202,
5,5,0,1.7079999446868896,
5,6,0,1.0920002460479736,
5,7,0,0.5749998092651367,
5,8,0,0.20299983024597168,X
5,1,0,8.860511779785156,
5,2,0,4.468564510345459,
5,3,0,1.4220099449157715,
5,4,0,1.3980002403259277,
5,5,0,2.168022394180298,
5,6,0,0.6860010623931885,X
5,1,0,8.810067176818848,
5,2,0,2.6800220012664795,
5,3,0,1.6260244846343994,
5,4,0,2.6890337467193604,
5,5,0,1.330012321472168,
5,6,0,0.5869994163513184,X
5,1,0,8.872021436691284,
5,2,0,2.8239996433258057,
5,3,0,1.6095178127288818,
5,4,0,4.2230119705200195,
5,5,0,1.442023515701294,
5,6,0,0.8339989185333252,
5,7,0,0.3299999237060547,X
5,1,0,8.911579847335815,
5,2,0,4.986046314239502,
5,3,0,2.2079999446868896,
5,4,0,1.119999885559082,
5,5,0,1.5689997673034668,
5,6,0,0.6659998893737793,X
5,1,0,8.905569076538086,
5,2,0,3.082035779953003,
5,3,0,3.3695180416107178,
5,4,0,1.1869990825653076,
5,5,0,1.8090407848358154,
5,6,0,1.1710376739501953,
5,7,0,0.37301111221313477,
5,8,0,0.28099989891052246,X
5,1,0,8.903108596801758,
5,2,0,4.9180450439453125,
5,3,0,4.346021890640259,
5,4,0,4.062023639678955,
5,5,0,1.2669994831085205,
5,6,0,1.0120124816894531,X
5,1,0,8.863584995269775,
5,2,0,4.753059148788452,
5,3,0,1.5410001277923584,
5,4,0,2.8775296211242676,
5,5,0,2.4960105419158936,
5,6,0,0.6619999408721924,
5,7,0,0.5425188541412354,
5,8,0,0.2970004081726074,X
5,1,0,8.780047416687012,
5,2,0,2.9190120697021484,
5,3,0,1.6385178565979004,
5,4,0,2.425999164581299,
5,5,0,1.4010159969329834,
5,6,0,0.5875155925750732,X
