depth,move number,Going First,Minimax Bot time to Make Move,Winner

4,1,0,0.8210060596466064,

4,2,0,0.591998815536499,

4,3,0,0.4395124912261963,

4,4,0,0.3559997081756592,

4,5,0,0.14600038528442383,

4,6,0,0.1340017318725586,X

4,1,0,0.8260393142700195,

4,2,0,0.5847728252410889,

4,3,0,0.44900965690612793,

4,4,0,0.25003552436828613,

4,5,0,0.17681574821472168,

4,6,0,0.09400081634521484,X

4,1,0,0.8399958610534668,

4,2,0,0.6170687675476074,

4,3,0,0.43198299407958984,

4,4,0,0.16899919509887695,

4,5,0,0.17720365524291992,

4,6,0,0.10399794578552246,

4,7,0,0.07299995422363281,

4,8,0,0.04800128936767578,X

4,1,0,0.8220257759094238,

4,2,0,0.6339991092681885,

4,3,0,0.45412516593933105,

4,4,0,0.15178608894348145,

4,5,0,0.17200136184692383,

4,6,0,0.07899880409240723,

4,7,0,0.0689997673034668,X

4,1,0,0.8120291233062744,

4,2,0,0.5870020389556885,

4,3,0,0.5010809898376465,

4,4,0,0.20000004768371582,

4,5,0,0.14599967002868652,

4,6,0,0.11225056648254395,

4,7,0,0.0749971866607666,X

4,1,0,0.8335566520690918,

4,2,0,0.6235132217407227,

4,3,0,0.46300172805786133,

4,4,0,0.3509981632232666,

4,5,0,0.10202836990356445,

4,6,0,0.12600183486938477,

4,7,0,0.07300901412963867,X

4,1,0,0.8168156147003174,

4,2,0,0.584007740020752,

4,3,0,0.45605039596557617,

4,4,0,0.3569972515106201,

4,5,0,0.18600249290466309,

4,6,0,0.1415238380432129,

4,7,0,0.07100033760070801,

4,8,0,0.05699968338012695,X

4,1,0,0.8415160179138184,

4,2,0,0.6000018119812012,

4,3,0,0.28999757766723633,

4,4,0,0.3269994258880615,

4,5,0,0.247999906539917,

4,6,0,0.13500142097473145,

4,7,0,0.08499932289123535,X

4,1,0,0.8640108108520508,

4,2,0,0.5845150947570801,

4,3,0,0.4009213447570801,

4,4,0,0.16199946403503418,

4,5,0,0.2070012092590332,

4,6,0,0.09900045394897461,

4,7,0,0.08699846267700195,

4,8,0,0.04900193214416504,X

4,1,0,0.8629999160766602,

4,2,0,0.6001279354095459,

4,3,0,0.4440116882324219,

4,4,0,0.3729400634765625,

4,5,0,0.1810004711151123,

4,6,0,0.08800005912780762,

4,7,0,0.0969998836517334,

4,8,0,0.04499983787536621,

4,9,0,0.031000614166259766,X

4,1,0,0.892169713973999,

4,2,0,0.6239995956420898,

4,3,0,0.4659996032714844,

4,4,0,0.26103663444519043,

4,5,0,0.23000049591064453,

4,6,0,0.0820009708404541,

4,7,0,0.08499956130981445,

4,8,0,0.0560002326965332,X

4,1,0,0.8740010261535645,

4,2,0,0.6596205234527588,

4,3,0,0.4960007667541504,

4,4,0,0.3630211353302002,

4,5,0,0.18999862670898438,

4,6,0,0.11800003051757812,

4,7,0,0.08705878257751465,

4,8,0,0.05500149726867676,X

4,1,0,0.8829972743988037,

4,2,0,0.6309998035430908,

4,3,0,0.3640000820159912,

4,4,0,0.30900049209594727,

4,5,0,0.20100092887878418,

4,6,0,0.11500120162963867,

4,7,0,0.07699871063232422,

4,8,0,0.03699827194213867,

4,9,0,0.027001380920410156,

4,10,0,0.014999151229858398,X

4,1,0,0.8756241798400879,

4,2,0,0.6430008411407471,

4,3,0,0.4760000705718994,

4,4,0,0.3659992218017578,

4,5,0,0.18500018119812012,

4,6,0,0.10500097274780273,

4,7,0,0.08399796485900879,

4,8,0,0.05600166320800781,X

4,1,0,0.8775138854980469,

4,2,0,0.6169979572296143,

4,3,0,0.48000168800354004,

4,4,0,0.3639981746673584,

4,5,0,0.19700074195861816,

4,6,0,0.11700010299682617,

4,7,0,0.08500051498413086,X

4,1,0,0.8719987869262695,

4,2,0,0.6230096817016602,

4,3,0,0.49103784561157227,

4,4,0,0.2129991054534912,

4,5,0,0.10503268241882324,

4,6,0,0.1100006103515625,

4,7,0,0.04900002479553223,

4,8,0,0.033998727798461914,X

4,1,0,0.8750016689300537,

4,2,0,0.622999906539917,

4,3,0,0.2409989833831787,

4,4,0,0.3320012092590332,

4,5,0,0.2109987735748291,

4,6,0,0.136000394821167,

4,7,0,0.09599828720092773,X

4,1,0,0.8790159225463867,

4,2,0,0.6440110206604004,

4,3,0,0.49200010299682617,

4,4,0,0.3580009937286377,

4,5,0,0.1960010528564453,

4,6,0,0.13499879837036133,

4,7,0,0.07399940490722656,X

4,1,0,0.8849995136260986,

4,2,0,0.6320016384124756,

4,3,0,0.5109996795654297,

4,4,0,0.29851770401000977,

4,5,0,0.26199913024902344,

4,6,0,0.04800105094909668,

