depth,move number,Prunings,Winner,Which Heur,Who First
4,1,153,--,new,RB
4,2,199,--,new,RB
4,3,123,--,new,RB
4,4,40,--,new,RB
4,5,201,--,new,RB
4,6,152,--,new,RB
4,7,112,--,new,RB
4,8,56,--,new,RB
4,9,43,--,new,RB
4,0,0,O,new,RB
4,1,227,--,new,RB
4,2,197,--,new,RB
4,3,144,--,new,RB
4,4,262,--,new,RB
4,5,164,--,new,RB
4,6,135,--,new,RB
4,7,80,--,new,RB
4,8,75,--,new,RB
4,9,29,--,new,RB
4,10,11,--,new,RB
4,11,4,--,new,RB
4,12,0,--,new,RB
4,13,0,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,230,--,new,RB
4,3,364,--,new,RB
4,4,191,--,new,RB
4,5,158,--,new,RB
4,6,61,--,new,RB
4,7,86,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,228,--,new,RB
4,3,124,--,new,RB
4,4,93,--,new,RB
4,5,213,--,new,RB
4,6,27,--,new,RB
4,7,40,--,new,RB
4,8,15,--,new,RB
4,0,0,O,new,RB
4,1,145,--,new,RB
4,2,189,--,new,RB
4,3,110,--,new,RB
4,4,52,--,new,RB
4,5,226,--,new,RB
4,6,81,--,new,RB
4,7,57,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,235,--,new,RB
4,3,363,--,new,RB
4,4,196,--,new,RB
4,5,185,--,new,RB
4,6,137,--,new,RB
4,7,92,--,new,RB
4,8,67,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,331,--,new,RB
4,3,269,--,new,RB
4,4,211,--,new,RB
4,5,114,--,new,RB
4,6,79,--,new,RB
4,0,0,O,new,RB
4,1,140,--,new,RB
4,2,346,--,new,RB
4,3,350,--,new,RB
4,4,280,--,new,RB
4,5,215,--,new,RB
4,6,98,--,new,RB
4,0,0,O,new,RB
4,1,227,--,new,RB
4,2,181,--,new,RB
4,3,343,--,new,RB
4,4,221,--,new,RB
4,5,178,--,new,RB
4,6,146,--,new,RB
4,7,109,--,new,RB
4,8,51,--,new,RB
4,9,10,--,new,RB
4,0,0,O,new,RB
4,1,226,--,new,RB
4,2,198,--,new,RB
4,3,170,--,new,RB
4,4,257,--,new,RB
4,5,197,--,new,RB
4,6,141,--,new,RB
4,7,98,--,new,RB
4,8,52,--,new,RB
4,9,31,--,new,RB
4,10,24,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,195,--,new,RB
4,3,184,--,new,RB
4,4,130,--,new,RB
4,5,207,--,new,RB
4,6,106,--,new,RB
4,7,48,--,new,RB
4,8,66,--,new,RB
4,9,46,--,new,RB
4,10,20,--,new,RB
4,11,8,--,new,RB
4,0,0,O,new,RB
4,1,227,--,new,RB
4,2,185,--,new,RB
4,3,170,--,new,RB
4,4,259,--,new,RB
4,5,210,--,new,RB
4,6,109,--,new,RB
4,7,104,--,new,RB
4,0,0,O,new,RB
4,1,213,--,new,RB
4,2,161,--,new,RB
4,3,127,--,new,RB
4,4,83,--,new,RB
4,5,132,--,new,RB
4,6,147,--,new,RB
4,7,80,--,new,RB
4,0,0,O,new,RB
4,1,227,--,new,RB
4,2,198,--,new,RB
4,3,119,--,new,RB
4,4,290,--,new,RB
4,5,60,--,new,RB
4,6,63,--,new,RB
4,7,102,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,254,--,new,RB
4,3,113,--,new,RB
4,4,161,--,new,RB
4,5,194,--,new,RB
4,6,128,--,new,RB
4,7,89,--,new,RB
4,0,0,O,new,RB
4,1,226,--,new,RB
4,2,188,--,new,RB
4,3,321,--,new,RB
4,4,225,--,new,RB
4,5,205,--,new,RB
4,6,120,--,new,RB
4,7,99,--,new,RB
4,8,30,--,new,RB
4,0,0,,new,RB
4,1,159,--,new,RB
4,2,197,--,new,RB
4,3,171,--,new,RB
4,4,274,--,new,RB
4,5,191,--,new,RB
4,6,135,--,new,RB
4,7,88,--,new,RB
4,8,45,--,new,RB
4,9,14,--,new,RB
4,10,0,--,new,RB
4,0,0,O,new,RB
4,1,152,--,new,RB
4,2,193,--,new,RB
4,3,121,--,new,RB
4,4,51,--,new,RB
4,5,226,--,new,RB
4,6,85,--,new,RB
4,7,64,--,new,RB
4,0,0,O,new,RB
4,1,213,--,new,RB
4,2,325,--,new,RB
4,3,331,--,new,RB
4,4,206,--,new,RB
4,5,193,--,new,RB
4,6,90,--,new,RB
4,7,86,--,new,RB
4,8,59,--,new,RB
4,9,16,--,new,RB
4,0,0,O,new,RB
4,1,227,--,new,RB
4,2,285,--,new,RB
4,3,371,--,new,RB
4,4,232,--,new,RB
4,5,185,--,new,RB
4,6,94,--,new,RB
4,7,83,--,new,RB
4,8,63,--,new,RB
4,9,39,--,new,RB
4,10,5,--,new,RB
4,0,0,O,new,RB
4,1,153,--,new,RB
4,2,228,--,new,RB
4,3,156,--,new,RB
4,4,96,--,new,RB
4,5,150,--,new,RB
4,6,137,--,new,RB
4,7,77,--,new,RB
4,0,0,O,new,RB
