depth,move_number,Going_First,mean,std
3,1,0,0.015501761436462373,0.0005100362043706785
3,1,1,0.01389970779418939,0.0011251926202275365
3,2,0,0.013432590166727633,0.0008586229081529125
3,2,1,0.013483699162801049,0.004713332986136993
3,3,0,0.005199972788492805,0.0033465725888070772
3,3,1,0.005966695149739538,0.003792173744767868
3,4,0,0.010566838582356712,0.0044849808419882365
3,4,1,0.00903349717458085,0.0038460870834717033
3,5,0,0.00896638234456375,0.0033164009647619367
3,5,1,0.007666659355163528,0.002482248393084232
3,6,0,0.0073667923609415115,0.0021730998758264916
3,6,1,0.005733386675516721,0.0021644138465965754
3,7,0,0.0052857739584786095,0.001718331349835447
3,7,1,0.004621152220101148,0.0017191579044746913
3,8,0,0.0038667201995849143,0.0010596659866334442
3,8,1,0.0030621886253356496,0.0011236758116750262
3,9,0,0.0026662747065225832,0.0008162821459119354
3,9,1,0.001750111579894975,0.0009572747434528985
3,10,0,0.0013337930043538,0.0005766214003752435
3,10,1,0.0013333161671955998,0.0005774461235267807
3,11,0,0.00099956989288325,1.685873940425795e-07
3,11,1,0.001000165939331,
4,1,0,0.8631406704584758,0.024037025946967317
4,1,1,0.7168057998021443,0.030801560154419757
4,2,0,0.6248552004496256,0.0239746507229537
4,2,1,0.5413821299870809,0.04477278342179121
4,3,0,0.45083017349243165,0.061842224565377524
4,3,1,0.33819382985432944,0.10295202539939366
4,4,0,0.2995032787322998,0.08304393649054687
4,4,1,0.23656206130981444,0.057595697650232876
4,5,0,0.1826604048411051,0.04345687419777627
4,5,1,0.1382134358088175,0.03333291433822173
4,6,0,0.11437683900197346,0.025727510802823733
4,6,1,0.10273325443267821,0.018656531629477502
4,7,0,0.07961805967184211,0.012469662646022204
4,7,1,0.05979190270105994,0.01264220803247077
4,8,0,0.04960048993428546,0.007679562578092405
4,8,1,0.033941072576186185,0.00754545047309262
4,9,0,0.0290009975433349,0.0028278849476869373
4,9,1,0.017875522375106763,0.0026423200850925616
4,10,0,0.0149991512298583,
4,10,1,0.00883513689041135,0.0010019940175998274
4,11,1,0.0030009746551513,3.37174788084699e-07
4,12,1,0.0,0.0
5,1,0,9.536807243029276,0.10459690382833
5,1,1,8.199215245246886,0.7959719968567972
5,2,0,4.491336997350057,1.526501753157007
5,2,1,3.033599042892456,0.8735017578857277
5,3,0,2.3890965938568116,0.6995626091113524
5,3,1,1.9960063378016153,0.3905724017174181
5,4,0,3.058177391688029,1.1494187548511299
5,4,1,2.7648540417353313,0.903866466254371
5,5,0,1.6829510529836018,0.5688654598731073
5,5,1,1.2806529442469279,0.36713457831063484
5,6,0,0.8442824045817058,0.3123209014803638
5,6,1,0.6497422854105631,0.18613410311124048
5,7,0,0.45074122602289374,0.15832956020174765
5,7,1,0.4179859161376953,0.10274789299831207
5,8,0,0.23640640576680502,0.05530392487526084
5,8,1,0.19344410029324613,0.03902399070025265
5,9,0,0.12080049514770504,0.013386969657722032
5,9,1,0.07375379403432208,0.012541917117570408
5,10,0,0.044464349746704046,0.0021703941109169817
5,10,1,0.0284895896911621,0.0008463473714173482
5,11,1,0.0061697959899902,
5,12,1,0.0,
